idx,time(s),count B,count C
2,0.02,33,-42
3,0.03,33,-42
4,0.04,33,-42
5,0.05,33,-42
6,0.06,33,-42
7,0.07,33,-42
8,0.08,32,-42
9,0.09,32,-42
10,0.1,31,-41
11,0.11,31,-41
12,0.12,30,-40
13,0.13,29,-39
14,0.14,28,-38
15,0.15,28,-38
16,0.16,26,-37
17,0.17,26,-36
18,0.18,24,-34
19,0.19,23,-33
20,0.2,22,-32
21,0.21,21,-31
22,0.22,20,-30
23,0.23,18,-28
24,0.24,17,-27
25,0.25,16,-26
26,0.26,14,-24
27,0.27,13,-23
28,0.28,12,-22
29,0.29,11,-20
30,0.3,10,-19
31,0.31,8,-18
32,0.32,7,-17
33,0.33,6,-16
34,0.34,5,-14
35,0.35,4,-13
36,0.36,3,-12
37,0.37,2,-11
38,0.38,2,-11
39,0.39,1,-10
40,0.4,0,-9
41,0.41,0,-9
42,0.42,0,-8
43,0.43,-1,-8
44,0.44,-1,-7
45,0.45,-1,-7
46,0.46,-1,-7
47,0.47,-1,-7
48,0.48,-1,-7
49,0.49,-1,-7
50,0.5,-1,-8
51,0.51,0,-8
52,0.52,0,-8
53,0.53,1,-9
54,0.54,2,-10
55,0.55,2,-10
56,0.56,3,-11
57,0.57,4,-12
58,0.58,5,-13
59,0.59,6,-14
60,0.6,7,-15
61,0.61,8,-16
62,0.62,9,-17
63,0.63,10,-18
64,0.64,12,-20
65,0.65,13,-21
66,0.66,14,-22
67,0.67,16,-24
68,0.68,17,-25
69,0.69,18,-26
70,0.7,20,-28
71,0.71,20,-29
72,0.72,22,-30
73,0.73,23,-31
74,0.74,24,-33
75,0.75,25,-34
76,0.76,26,-35
77,0.77,28,-36
78,0.78,28,-37
79,0.79,29,-38
80,0.8,30,-39
81,0.81,31,-39
82,0.82,31,-40
83,0.83,32,-41
84,0.84,32,-41
85,0.85,32,-42
86,0.86,33,-42
87,0.87,33,-42
88,0.88,33,-42
89,0.89,33,-42
90,0.9,33,-42
91,0.91,32,-42
92,0.92,32,-42
93,0.93,32,-41
94,0.94,31,-41
95,0.95,31,-40
96,0.96,30,-39
97,0.97,29,-39
98,0.98,28,-38
99,0.99,27,-37
100,1.0,26,-36
101,1.01,25,-35
102,1.02,24,-34
103,1.03,23,-33
104,1.04,22,-32
105,1.05,20,-30
106,1.06,19,-29
107,1.07,18,-28
108,1.08,17,-26
109,1.09,16,-25
110,1.1,14,-24
111,1.11,13,-22
112,1.12,12,-21
113,1.13,10,-20
114,1.14,9,-19
115,1.15,8,-17
116,1.16,7,-16
117,1.17,6,-15
118,1.18,5,-14
119,1.19,4,-13
120,1.2,3,-12
121,1.21,2,-11
122,1.22,2,-10
123,1.23,1,-10
124,1.24,0,-9
125,1.25,0,-8
126,1.26,-1,-8
127,1.27,-1,-8
128,1.28,-1,-7
129,1.29,-1,-7
130,1.3,-1,-7
131,1.31,-1,-7
132,1.32,-1,-7
133,1.33,-1,-8
134,1.34,0,-8
135,1.35,0,-8
136,1.36,0,-9
137,1.37,1,-9
138,1.38,2,-10
139,1.39,2,-11
140,1.4,4,-12
141,1.41,4,-13
142,1.42,5,-14
143,1.43,6,-15
144,1.44,7,-16
145,1.45,8,-17
146,1.46,10,-18
147,1.47,11,-19
148,1.48,12,-20
149,1.49,14,-22
150,1.5,15,-23
151,1.51,16,-24
152,1.52,17,-26
153,1.53,18,-27
154,1.54,20,-28
155,1.55,21,-30
156,1.56,22,-31
157,1.57,24,-32
158,1.58,25,-33
159,1.59,26,-34
160,1.6,27,-35
161,1.61,28,-36
162,1.62,29,-37
163,1.63,30,-38
164,1.64,30,-39
165,1.65,31,-40
166,1.66,32,-40
167,1.67,32,-41
168,1.68,32,-41
169,1.69,33,-42
170,1.7,33,-42
171,1.71,33,-42
172,1.72,33,-42
173,1.73,33,-42
174,1.74,33,-42
175,1.75,32,-42
176,1.76,32,-41
177,1.77,32,-41
178,1.78,31,-40
179,1.79,30,-40
180,1.8,30,-39
181,1.81,29,-38
182,1.82,28,-37
183,1.83,27,-36
184,1.84,26,-36
185,1.85,25,-34
186,1.86,24,-33
187,1.87,22,-32
188,1.88,21,-31
189,1.89,20,-30
190,1.9,19,-28
191,1.91,18,-27
192,1.92,16,-26
193,1.93,15,-24
194,1.94,14,-23
195,1.95,12,-22
196,1.96,11,-20
197,1.97,10,-19
198,1.98,9,-18
199,1.99,8,-17
200,2.0,6,-16
201,2.01,6,-14
202,2.02,4,-13
203,2.03,4,-12
204,2.04,3,-12
205,2.05,2,-11
206,2.06,1,-10
207,2.07,0,-9
208,2.08,0,-9
209,2.09,0,-8
210,2.1,-1,-8
211,2.11,-1,-7
212,2.12,-1,-7
213,2.13,-1,-7
214,2.14,-1,-7
215,2.15,-1,-7
216,2.16,-1,-7
217,2.17,-1,-8
218,2.18,0,-8
219,2.19,0,-8
220,2.2,1,-9
221,2.21,1,-10
222,2.22,2,-10
223,2.23,3,-11
224,2.24,4,-12
225,2.25,4,-13
226,2.26,6,-14
227,2.27,7,-15
228,2.28,8,-16
229,2.29,9,-17
230,2.3,10,-18
231,2.31,11,-20
232,2.32,12,-21
233,2.33,14,-22
234,2.34,15,-24
235,2.35,16,-25
236,2.36,18,-26
237,2.37,19,-28
238,2.38,20,-29
239,2.39,21,-30
240,2.4,23,-32
241,2.41,24,-33
242,2.42,25,-34
243,2.43,26,-35
244,2.44,27,-36
245,2.45,28,-37
246,2.46,29,-38
247,2.47,30,-39
248,2.48,30,-40
249,2.49,31,-40
250,2.5,32,-41
251,2.51,32,-41
252,2.52,32,-42
253,2.53,33,-42
254,2.54,33,-42
255,2.55,33,-42
256,2.56,33,-42
257,2.57,33,-42
258,2.58,33,-42
259,2.59,32,-42
260,2.6,32,-42
261,2.61,31,-41
262,2.62,31,-40
263,2.63,30,-40
264,2.64,29,-39
265,2.65,28,-38
266,2.66,28,-37
267,2.67,26,-36
268,2.68,26,-35
269,2.69,24,-34
270,2.7,23,-33
271,2.71,22,-32
272,2.72,21,-30
273,2.73,20,-29
274,2.74,18,-28
275,2.75,17,-27
276,2.76,16,-25
277,2.77,14,-24
278,2.78,13,-23
279,2.79,12,-21
280,2.8,11,-20
281,2.81,10,-19
282,2.82,8,-17
283,2.83,7,-16
284,2.84,6,-15
285,2.85,5,-14
286,2.86,4,-13
287,2.87,3,-12
288,2.88,2,-11
289,2.89,2,-10
290,2.9,1,-9
291,2.91,0,-9
292,2.92,0,-8
293,2.93,0,-8
294,2.94,-1,-7
295,2.95,-1,-7
296,2.96,-1,-7
297,2.97,-1,-7
298,2.98,-1,-7
299,2.99,-1,-7
300,3.0,-1,-7
301,3.01,0,-7
302,3.02,0,-8
303,3.03,0,-8
304,3.04,1,-9
305,3.05,2,-10
306,3.06,2,-10
307,3.07,3,-11
308,3.08,4,-12
309,3.09,5,-13
310,3.1,6,-14
311,3.11,7,-15
312,3.12,8,-16
313,3.13,10,-18
314,3.14,11,-19
315,3.15,12,-20
316,3.16,13,-21
317,3.17,14,-23
318,3.18,16,-24
319,3.19,17,-25
320,3.2,18,-27
321,3.21,20,-28
322,3.22,21,-29
323,3.23,22,-30
324,3.24,23,-32
325,3.25,24,-33
326,3.26,26,-34
327,3.27,26,-35
328,3.28,28,-36
329,3.29,28,-37
330,3.3,29,-38
331,3.31,30,-39
332,3.32,31,-40
333,3.33,32,-40
334,3.34,32,-41
335,3.35,32,-42
336,3.36,33,-42
337,3.37,33,-42
338,3.38,33,-42
339,3.39,33,-42
340,3.4,33,-42
341,3.41,33,-42
342,3.42,33,-42
343,3.43,32,-42
344,3.44,32,-42
345,3.45,32,-41
346,3.46,31,-40
347,3.47,30,-40
348,3.48,29,-39
349,3.49,28,-38
350,3.5,28,-37
351,3.51,26,-36
352,3.52,25,-35
353,3.53,24,-34
354,3.54,23,-33
355,3.55,22,-32
356,3.56,21,-30
357,3.57,20,-29
358,3.58,18,-28
359,3.59,17,-26
360,3.6,16,-25
361,3.61,14,-24
362,3.62,13,-22
363,3.63,12,-21
364,3.64,10,-20
365,3.65,10,-18
366,3.66,8,-17
367,3.67,7,-16
368,3.68,6,-15
369,3.69,5,-14
370,3.7,4,-13
371,3.71,3,-12
372,3.72,2,-11
373,3.73,2,-10
374,3.74,1,-9
375,3.75,0,-9
376,3.76,0,-8
377,3.77,0,-8
378,3.78,-1,-7
379,3.79,-1,-7
380,3.8,-1,-7
381,3.81,-1,-7
382,3.82,-1,-7
383,3.83,-1,-7
384,3.84,0,-7
385,3.85,0,-8
386,3.86,0,-8
387,3.87,1,-8
388,3.88,1,-9
389,3.89,2,-10
390,3.9,3,-10
391,3.91,4,-11
392,3.92,4,-12
393,3.93,6,-13
394,3.94,6,-14
395,3.95,8,-16
396,3.96,9,-17
397,3.97,10,-18
398,3.98,11,-19
399,3.99,12,-20
400,4.0,14,-22
401,4.01,15,-23
402,4.02,16,-24
403,4.03,17,-26
404,4.04,19,-27
405,4.05,20,-28
406,4.06,21,-30
407,4.07,22,-31
408,4.08,24,-32
409,4.09,25,-33
410,4.1,26,-34
411,4.11,27,-36
412,4.12,28,-37
413,4.13,29,-38
414,4.14,30,-38
415,4.15,30,-39
416,4.16,31,-40
417,4.17,32,-41
418,4.18,32,-41
419,4.19,32,-42
420,4.2,33,-42
421,4.21,33,-42
422,4.22,33,-42
423,4.23,33,-42
424,4.24,33,-42
425,4.25,33,-42
426,4.26,32,-42
427,4.27,32,-42
428,4.28,32,-41
429,4.29,31,-41
430,4.3,30,-40
431,4.31,30,-39
432,4.32,29,-39
433,4.33,28,-38
434,4.34,27,-37
435,4.35,26,-36
436,4.36,25,-35
437,4.37,24,-34
438,4.38,22,-32
439,4.39,21,-31
440,4.4,20,-30
441,4.41,19,-29
442,4.42,18,-27
443,4.43,16,-26
444,4.44,15,-25
445,4.45,14,-23
446,4.46,12,-22
447,4.47,11,-21
448,4.48,10,-19
449,4.49,9,-18
450,4.5,8,-17
451,4.51,6,-16
452,4.52,6,-15
453,4.53,4,-14
454,4.54,4,-12
455,4.55,3,-12
456,4.56,2,-11
457,4.57,1,-10
458,4.58,1,-9
459,4.59,0,-9
460,4.6,0,-8
461,4.61,-1,-8
462,4.62,-1,-7
463,4.63,-1,-7
464,4.64,-1,-7
465,4.65,-1,-7
466,4.66,-1,-7
467,4.67,-1,-7
468,4.68,0,-7
469,4.69,0,-8
470,4.7,0,-8
471,4.71,1,-9
472,4.72,2,-9
473,4.73,2,-10
474,4.74,3,-11
475,4.75,4,-12
476,4.76,5,-13
477,4.77,6,-14
478,4.78,7,-15
479,4.79,8,-16
480,4.8,9,-17
481,4.81,10,-18
482,4.82,12,-20
483,4.83,13,-21
484,4.84,14,-22
485,4.85,16,-23
486,4.86,17,-25
487,4.87,18,-26
488,4.88,19,-27
489,4.89,20,-29
490,4.9,22,-30
491,4.91,23,-31
492,4.92,24,-32
493,4.93,25,-34
494,4.94,26,-35
495,4.95,27,-36
496,4.96,28,-37
497,4.97,29,-38
498,4.98,30,-38
499,4.99,31,-39
500,5.0,31,-40
501,5.01,32,-41
502,5.02,32,-41
503,5.03,33,-42
504,5.04,33,-42
505,5.05,33,-42
506,5.06,33,-42
507,5.07,33,-42
508,5.08,33,-42
509,5.09,33,-42
510,5.1,32,-42
511,5.11,32,-41
512,5.12,32,-41
513,5.13,31,-40
514,5.14,30,-40
515,5.15,30,-39
516,5.16,29,-38
517,5.17,28,-37
518,5.18,27,-36
519,5.19,26,-35
520,5.2,24,-34
521,5.21,24,-33
522,5.22,22,-32
523,5.23,21,-30
524,5.24,20,-29
525,5.25,18,-28
526,5.26,17,-27
527,5.27,16,-25
528,5.28,15,-24
529,5.29,14,-23
530,5.3,12,-21
531,5.31,11,-20
532,5.32,10,-19
533,5.33,8,-18
534,5.34,7,-16
535,5.35,6,-15
536,5.36,5,-14
537,5.37,4,-13
538,5.38,3,-12
539,5.39,2,-11
540,5.4,2,-10
541,5.41,1,-10
542,5.42,0,-9
543,5.43,0,-8
544,5.44,0,-8
545,5.45,-1,-8
546,5.46,-1,-7
547,5.47,-1,-7
548,5.48,-1,-7
549,5.49,-1,-7
550,5.5,-1,-7
551,5.51,-1,-7
552,5.52,0,-8
553,5.53,0,-8
554,5.54,0,-8
555,5.55,1,-9
556,5.56,2,-10
557,5.57,2,-10
558,5.58,3,-11
559,5.59,4,-12
560,5.6,5,-13
561,5.61,6,-14
562,5.62,7,-15
563,5.63,8,-16
564,5.64,10,-18
565,5.65,11,-19
566,5.66,12,-20
567,5.67,13,-22
568,5.68,14,-23
569,5.69,16,-24
570,5.7,17,-25
571,5.71,18,-27
572,5.72,20,-28
573,5.73,21,-29
574,5.74,22,-31
575,5.75,23,-32
576,5.76,24,-33
577,5.77,26,-34
578,5.78,26,-35
579,5.79,28,-36
580,5.8,28,-37
581,5.81,29,-38
582,5.82,30,-39
583,5.83,31,-40
584,5.84,32,-40
585,5.85,32,-41
586,5.86,32,-42
587,5.87,33,-42
588,5.88,33,-42
589,5.89,33,-42
