idx,time(s),count B,count C
2,0.02,1,-37
3,0.03,0,-40
4,0.04,0,-43
5,0.05,-1,-46
6,0.06,-2,-48
7,0.07,-2,-51
8,0.08,-2,-53
9,0.09,-3,-55
10,0.1,-4,-58
11,0.11,-4,-59
12,0.12,-5,-61
13,0.13,-6,-63
14,0.14,-6,-64
15,0.15,-7,-66
16,0.16,-8,-67
17,0.17,-8,-68
18,0.18,-9,-68
19,0.19,-10,-69
20,0.2,-10,-69
21,0.21,-11,-69
22,0.22,-11,-69
23,0.23,-12,-69
24,0.24,-12,-68
25,0.25,-13,-67
26,0.26,-13,-66
27,0.27,-14,-65
28,0.28,-14,-64
29,0.29,-14,-62
30,0.3,-15,-61
31,0.31,-15,-59
32,0.32,-16,-57
33,0.33,-16,-55
34,0.34,-16,-52
35,0.35,-16,-50
36,0.36,-16,-47
37,0.37,-16,-45
38,0.38,-16,-42
39,0.39,-16,-39
40,0.4,-16,-36
41,0.41,-16,-33
42,0.42,-16,-29
43,0.43,-16,-26
44,0.44,-16,-23
45,0.45,-15,-20
46,0.46,-15,-16
47,0.47,-14,-13
48,0.48,-14,-10
49,0.49,-14,-6
50,0.5,-14,-3
51,0.51,-13,0
52,0.52,-12,3
53,0.53,-12,6
54,0.54,-12,9
55,0.55,-11,12
56,0.56,-10,15
57,0.57,-10,18
58,0.58,-9,20
59,0.59,-8,22
60,0.6,-8,25
61,0.61,-8,27
62,0.62,-7,28
63,0.63,-6,30
64,0.64,-6,32
65,0.65,-5,33
66,0.66,-4,34
67,0.67,-4,35
68,0.68,-3,35
69,0.69,-2,36
70,0.7,-2,36
71,0.71,-1,36
72,0.72,0,36
73,0.73,0,36
74,0.74,0,35
75,0.75,1,34
76,0.76,2,33
77,0.77,2,32
78,0.78,2,31
79,0.79,3,30
80,0.8,3,28
81,0.81,4,26
82,0.82,4,24
83,0.83,4,22
84,0.84,4,20
85,0.85,4,18
86,0.86,5,15
87,0.87,5,13
88,0.88,5,10
89,0.89,5,7
90,0.9,5,5
91,0.91,5,2
92,0.92,5,-1
93,0.93,4,-4
94,0.94,4,-8
