idx,time(s),count B,count C
2,0.02,27,-39
3,0.03,26,-38
4,0.04,25,-36
5,0.05,24,-35
6,0.06,23,-34
7,0.07,22,-32
8,0.08,20,-31
9,0.09,20,-30
10,0.1,18,-28
11,0.11,17,-27
12,0.12,16,-25
13,0.13,14,-24
14,0.14,13,-22
15,0.15,12,-21
16,0.16,11,-19
17,0.17,10,-18
18,0.18,8,-16
19,0.19,7,-15
20,0.2,6,-14
21,0.21,5,-12
22,0.22,4,-11
23,0.23,3,-10
24,0.24,2,-9
25,0.25,2,-8
26,0.26,1,-7
27,0.27,0,-6
28,0.28,0,-6
29,0.29,0,-5
30,0.3,-1,-5
31,0.31,-1,-4
32,0.32,-1,-4
33,0.33,-1,-4
34,0.34,-1,-4
35,0.35,-1,-4
36,0.36,-1,-4
37,0.37,-1,-4
38,0.38,0,-5
39,0.39,0,-6
40,0.4,0,-6
41,0.41,1,-7
42,0.42,2,-8
43,0.43,2,-8
44,0.44,3,-10
45,0.45,4,-11
46,0.46,5,-12
47,0.47,6,-13
48,0.48,7,-14
49,0.49,8,-16
50,0.5,10,-17
51,0.51,11,-18
52,0.52,12,-20
53,0.53,13,-21
54,0.54,14,-23
55,0.55,16,-24
56,0.56,17,-26
57,0.57,18,-27
58,0.58,20,-29
59,0.59,20,-30
60,0.6,22,-32
61,0.61,23,-33
62,0.62,24,-34
63,0.63,25,-36
64,0.64,26,-37
65,0.65,27,-38
66,0.66,28,-39
67,0.67,29,-40
68,0.68,30,-41
69,0.69,30,-42
70,0.7,31,-43
71,0.71,32,-44
72,0.72,32,-44
73,0.73,32,-45
74,0.74,33,-45
75,0.75,33,-45
76,0.76,33,-45
77,0.77,33,-45
78,0.78,33,-45
79,0.79,33,-45
80,0.8,32,-45
81,0.81,32,-44
82,0.82,32,-44
83,0.83,31,-43
84,0.84,30,-42
85,0.85,30,-42
86,0.86,29,-41
87,0.87,28,-40
88,0.88,27,-39
89,0.89,26,-37
90,0.9,25,-36
91,0.91,24,-35
92,0.92,23,-34
93,0.93,22,-32
94,0.94,20,-31
95,0.95,19,-29
96,0.96,18,-28
97,0.97,17,-26
98,0.98,16,-25
99,0.99,14,-23
100,1.0,13,-22
101,1.01,12,-20
102,1.02,10,-19
103,1.03,10,-17
104,1.04,8,-16
105,1.05,7,-14
106,1.06,6,-13
107,1.07,5,-12
108,1.08,4,-11
109,1.09,3,-10
110,1.1,2,-9
111,1.11,2,-8
112,1.12,1,-7
113,1.13,0,-6
114,1.14,0,-6
115,1.15,0,-5
116,1.16,-1,-5
117,1.17,-1,-4
118,1.18,-1,-4
119,1.19,-1,-4
120,1.2,-1,-4
121,1.21,-1,-4
122,1.22,-1,-4
123,1.23,-1,-5
124,1.24,0,-5
125,1.25,0,-6
126,1.26,1,-6
127,1.27,1,-7
128,1.28,2,-8
129,1.29,3,-9
130,1.3,4,-10
131,1.31,4,-11
132,1.32,5,-12
133,1.33,6,-13
134,1.34,7,-14
135,1.35,8,-16
136,1.36,10,-17
137,1.37,11,-19
138,1.38,12,-20
139,1.39,13,-22
140,1.4,14,-23
141,1.41,16,-25
142,1.42,17,-26
143,1.43,18,-28
144,1.44,20,-29
145,1.45,21,-31
146,1.46,22,-32
147,1.47,23,-33
148,1.48,24,-35
149,1.49,25,-36
