idx,time(s),count B,count C
2,0.02,3,9
3,0.03,4,11
4,0.04,6,13
5,0.05,6,14
6,0.06,8,16
7,0.07,9,18
8,0.08,10,19
9,0.09,11,21
10,0.1,12,22
11,0.11,13,23
12,0.12,14,25
13,0.13,14,26
14,0.14,15,27
15,0.15,16,28
16,0.16,16,29
17,0.17,17,30
18,0.18,18,30
19,0.19,18,31
20,0.2,19,32
21,0.21,19,32
22,0.22,20,33
23,0.23,20,33
24,0.24,20,33
25,0.25,20,33
26,0.26,20,33
27,0.27,20,33
28,0.28,20,33
29,0.29,20,33
30,0.3,20,33
31,0.31,19,32
32,0.32,19,32
33,0.33,18,31
34,0.34,18,31
35,0.35,18,30
36,0.36,17,29
37,0.37,16,28
38,0.38,16,28
39,0.39,15,27
40,0.4,14,26
41,0.41,14,25
42,0.42,12,24
43,0.43,12,22
44,0.44,10,21
45,0.45,10,20
46,0.46,8,18
47,0.47,8,17
48,0.48,6,16
49,0.49,5,14
50,0.5,4,13
51,0.51,3,11
52,0.52,2,10
53,0.53,0,8
54,0.54,-1,6
55,0.55,-2,5
56,0.56,-3,3
57,0.57,-4,1
58,0.58,-6,-1
59,0.59,-7,-2
60,0.6,-8,-4
61,0.61,-10,-6
62,0.62,-11,-8
63,0.63,-12,-9
64,0.64,-13,-11
65,0.65,-14,-13
66,0.66,-16,-14
67,0.67,-17,-16
68,0.68,-18,-18
69,0.69,-19,-19
70,0.7,-20,-21
71,0.71,-21,-22
72,0.72,-22,-24
73,0.73,-23,-25
74,0.74,-24,-27
75,0.75,-24,-28
76,0.76,-26,-29
77,0.77,-26,-31
78,0.78,-27,-32
79,0.79,-28,-33
80,0.8,-28,-34
81,0.81,-28,-35
82,0.82,-29,-36
83,0.83,-30,-36
84,0.84,-30,-37
85,0.85,-30,-38
86,0.86,-30,-38
87,0.87,-31,-39
88,0.88,-31,-39
89,0.89,-31,-39
90,0.9,-31,-39
91,0.91,-31,-40
92,0.92,-31,-40
93,0.93,-31,-39
94,0.94,-30,-39
95,0.95,-30,-39
96,0.96,-30,-38
97,0.97,-30,-38
98,0.98,-29,-38
99,0.99,-28,-37
100,1.0,-28,-36
101,1.01,-28,-35
102,1.02,-27,-34
103,1.03,-26,-33
104,1.04,-25,-32
105,1.05,-24,-31
106,1.06,-24,-30
107,1.07,-23,-29
108,1.08,-22,-27
109,1.09,-21,-26
110,1.1,-20,-24
111,1.11,-19,-23
112,1.12,-18,-21
113,1.13,-16,-20
114,1.14,-16,-18
115,1.15,-14,-16
116,1.16,-13,-14
117,1.17,-12,-13
118,1.18,-11,-11
119,1.19,-10,-9
120,1.2,-8,-7
121,1.21,-7,-5
122,1.22,-6,-3
123,1.23,-4,-2
124,1.24,-3,0
125,1.25,-2,2
126,1.26,0,4
127,1.27,0,6
128,1.28,2,8
129,1.29,3,10
130,1.3,4,11
131,1.31,6,13
132,1.32,6,15
133,1.33,8,16
134,1.34,9,18
135,1.35,10,20
136,1.36,11,21
137,1.37,12,22
138,1.38,13,24
139,1.39,14,25
140,1.4,14,26
141,1.41,15,28
142,1.42,16,29
143,1.43,16,30
144,1.44,17,30
145,1.45,18,31
146,1.46,18,32
147,1.47,19,32
148,1.48,19,33
149,1.49,20,33
150,1.5,20,34
151,1.51,20,34
152,1.52,20,34
153,1.53,20,34
154,1.54,20,34
155,1.55,20,34
156,1.56,20,34
157,1.57,20,33
158,1.58,19,33
159,1.59,19,32
160,1.6,18,32
161,1.61,18,31
162,1.62,18,31
163,1.63,17,30
164,1.64,16,29
165,1.65,16,28
166,1.66,15,27
167,1.67,14,26
168,1.68,13,25
169,1.69,12,24
170,1.7,12,23
171,1.71,10,21
172,1.72,10,20
173,1.73,8,19
174,1.74,7,17
175,1.75,6,16
176,1.76,5,14
177,1.77,4,13
178,1.78,3,11
179,1.79,2,9
180,1.8,0,8
181,1.81,-1,6
182,1.82,-2,4
183,1.83,-4,2
184,1.84,-5,1
185,1.85,-6,-1
186,1.86,-7,-3
187,1.87,-8,-5
188,1.88,-10,-6
189,1.89,-11,-8
190,1.9,-12,-10
191,1.91,-14,-12
192,1.92,-14,-13
193,1.93,-16,-15
194,1.94,-17,-17
195,1.95,-18,-18
196,1.96,-19,-20
197,1.97,-20,-22
198,1.98,-21,-23
199,1.99,-22,-25
200,2.0,-23,-26
201,2.01,-24,-28
202,2.02,-25,-29
203,2.03,-26,-30
204,2.04,-26,-31
205,2.05,-27,-32
206,2.06,-28,-34
207,2.07,-28,-35
208,2.08,-29,-36
209,2.09,-29,-36
210,2.1,-30,-37
211,2.11,-30,-38
212,2.12,-30,-38
213,2.13,-31,-39
214,2.14,-31,-39
215,2.15,-31,-40
216,2.16,-31,-40
217,2.17,-31,-40
218,2.18,-31,-40
219,2.19,-31,-40
220,2.2,-31,-40
221,2.21,-31,-39
222,2.22,-30,-39
223,2.23,-30,-39
224,2.24,-30,-38
225,2.25,-29,-38
226,2.26,-29,-37
227,2.27,-28,-36
228,2.28,-28,-35
229,2.29,-27,-34
230,2.3,-26,-33
231,2.31,-26,-32
232,2.32,-25,-31
233,2.33,-24,-30
234,2.34,-23,-28
235,2.35,-22,-27
236,2.36,-21,-25
237,2.37,-20,-24
238,2.38,-19,-22
239,2.39,-18,-21
240,2.4,-17,-19
241,2.41,-16,-17
242,2.42,-14,-16
243,2.43,-13,-14
244,2.44,-12,-12
245,2.45,-11,-10
246,2.46,-10,-8
247,2.47,-8,-6
248,2.48,-7,-4
249,2.49,-6,-3
250,2.5,-4,-1
251,2.51,-3,1
252,2.52,-2,3
253,2.53,-1,5
254,2.54,0,7
255,2.55,2,8
256,2.56,3,10
257,2.57,4,12
258,2.58,5,14
259,2.59,6,15
260,2.6,8,17
261,2.61,9,19
262,2.62,10,20
263,2.63,11,22
264,2.64,12,23
265,2.65,12,24
266,2.66,14,26
267,2.67,14,27
268,2.68,15,28
269,2.69,16,29
270,2.7,16,30
271,2.71,17,31
272,2.72,18,31
273,2.73,18,32
274,2.74,19,33
275,2.75,19,33
276,2.76,19,33
277,2.77,20,34
278,2.78,20,34
279,2.79,20,34
280,2.8,20,34
281,2.81,20,34
282,2.82,20,33
283,2.83,20,33
284,2.84,20,33
285,2.85,19,32
286,2.86,19,32
287,2.87,18,31
288,2.88,18,30
289,2.89,18,30
290,2.9,17,29
291,2.91,16,28
292,2.92,16,27
293,2.93,15,26
294,2.94,14,25
295,2.95,13,24
296,2.96,12,23
297,2.97,12,22
298,2.98,10,20
299,2.99,10,19
300,3.0,8,18
301,3.01,7,16
302,3.02,6,15
303,3.03,5,13
304,3.04,4,12
305,3.05,3,10
306,3.06,2,8
307,3.07,0,7
308,3.08,-1,5
309,3.09,-2,4
310,3.1,-4,2
311,3.11,-5,0
312,3.12,-6,-2
313,3.13,-7,-3
314,3.14,-8,-5
315,3.15,-10,-7
316,3.16,-11,-9
317,3.17,-12,-10
318,3.18,-14,-12
319,3.19,-14,-14
320,3.2,-16,-15
321,3.21,-17,-17
322,3.22,-18,-18
323,3.23,-19,-20
324,3.24,-20,-22
325,3.25,-21,-23
326,3.26,-22,-25
327,3.27,-23,-26
328,3.28,-24,-27
329,3.29,-25,-28
330,3.3,-26,-30
331,3.31,-26,-31
332,3.32,-27,-32
333,3.33,-28,-33
334,3.34,-28,-34
335,3.35,-29,-35
336,3.36,-29,-36
337,3.37,-30,-36
338,3.38,-30,-37
339,3.39,-30,-38
340,3.4,-31,-38
341,3.41,-31,-38
342,3.42,-31,-39
343,3.43,-31,-39
344,3.44,-31,-39
345,3.45,-31,-39
346,3.46,-31,-39
347,3.47,-31,-39
348,3.48,-31,-38
349,3.49,-30,-38
350,3.5,-30,-38
351,3.51,-30,-37
352,3.52,-29,-36
353,3.53,-29,-36
354,3.54,-28,-35
355,3.55,-28,-34
356,3.56,-27,-33
357,3.57,-26,-32
358,3.58,-26,-31
359,3.59,-25,-30
360,3.6,-24,-29
361,3.61,-23,-28
362,3.62,-22,-26
363,3.63,-21,-25
364,3.64,-20,-23
365,3.65,-19,-22
366,3.66,-18,-20
367,3.67,-17,-19
368,3.68,-16,-17
369,3.69,-14,-15
370,3.7,-13,-14
371,3.71,-12,-12
372,3.72,-11,-10
373,3.73,-10,-8
374,3.74,-8,-6
375,3.75,-7,-4
376,3.76,-6,-3
377,3.77,-4,-1
378,3.78,-3,1
379,3.79,-2,3
380,3.8,-1,4
381,3.81,0,6
382,3.82,2,8
383,3.83,3,10
384,3.84,4,12
385,3.85,6,13
386,3.86,6,15
387,3.87,8,16
388,3.88,9,18
389,3.89,10,20
390,3.9,11,21
391,3.91,12,22
392,3.92,12,24
393,3.93,14,25
394,3.94,14,26
395,3.95,15,27
396,3.96,16,28
397,3.97,16,29
398,3.98,17,30
399,3.99,18,31
400,4.0,18,31
401,4.01,19,32
402,4.02,19,32
403,4.03,19,33
404,4.04,20,33
405,4.05,20,33
406,4.06,20,33
407,4.07,20,33
408,4.08,20,33
409,4.09,20,33
410,4.1,20,33
411,4.11,20,32
412,4.12,19,32
413,4.13,19,31
414,4.14,18,31
415,4.15,18,30
416,4.16,18,30
417,4.17,17,29
418,4.18,16,28
419,4.19,16,27
420,4.2,15,26
421,4.21,14,25
422,4.22,13,24
423,4.23,12,23
424,4.24,12,22
425,4.25,10,21
426,4.26,10,19
427,4.27,8,18
428,4.28,7,17
