idx,time(s),count B,count C
2,0.02,-11,39
3,0.03,-10,38
4,0.04,-10,38
5,0.05,-10,37
6,0.06,-9,36
7,0.07,-8,35
8,0.08,-8,34
9,0.09,-7,33
10,0.1,-6,31
11,0.11,-6,30
12,0.12,-5,28
13,0.13,-4,26
14,0.14,-4,24
15,0.15,-3,22
16,0.16,-2,19
17,0.17,-2,17
18,0.18,-2,14
19,0.19,-1,11
20,0.2,0,9
21,0.21,0,6
22,0.22,1,3
23,0.23,1,0
24,0.24,2,-3
25,0.25,2,-6
26,0.26,2,-10
27,0.27,3,-13
28,0.28,4,-16
29,0.29,4,-19
30,0.3,4,-23
31,0.31,4,-26
32,0.32,4,-29
33,0.33,4,-32
34,0.34,5,-35
35,0.35,5,-38
36,0.36,5,-41
37,0.37,5,-44
38,0.38,5,-47
39,0.39,5,-50
40,0.4,5,-52
41,0.41,5,-55
42,0.42,4,-57
43,0.43,4,-59
44,0.44,4,-61
45,0.45,4,-63
46,0.46,4,-65
47,0.47,3,-66
48,0.48,3,-67
49,0.49,2,-68
50,0.5,2,-69
51,0.51,2,-70
52,0.52,1,-71
53,0.53,0,-71
54,0.54,0,-71
55,0.55,0,-71
56,0.56,-1,-71
57,0.57,-2,-70
58,0.58,-2,-70
59,0.59,-3,-69
60,0.6,-4,-68
61,0.61,-4,-67
62,0.62,-5,-65
63,0.63,-6,-64
64,0.64,-6,-62
65,0.65,-7,-60
66,0.66,-7,-58
67,0.67,-8,-55
68,0.68,-8,-53
69,0.69,-9,-50
70,0.7,-10,-48
71,0.71,-10,-45
72,0.72,-11,-42
73,0.73,-12,-39
74,0.74,-12,-36
75,0.75,-12,-33
76,0.76,-13,-29
77,0.77,-13,-26
78,0.78,-14,-23
79,0.79,-14,-19
80,0.8,-14,-16
81,0.81,-15,-13
82,0.82,-15,-9
83,0.83,-15,-6
84,0.84,-16,-2
85,0.85,-16,1
86,0.86,-16,4
87,0.87,-16,7
88,0.88,-16,10
89,0.89,-16,13
90,0.9,-16,16
91,0.91,-16,19
92,0.92,-16,21
93,0.93,-16,24
94,0.94,-16,26
95,0.95,-16,28
96,0.96,-15,30
97,0.97,-15,32
98,0.98,-15,34
99,0.99,-14,35
100,1.0,-14,36
101,1.01,-14,37
102,1.02,-13,38
103,1.03,-13,38
