idx,time(s),count B,count C
2,0.02,4,27
3,0.03,4,27
4,0.04,5,26
5,0.05,5,25
6,0.06,5,24
7,0.07,5,23
8,0.08,5,22
9,0.09,5,20
10,0.1,5,19
11,0.11,4,17
12,0.12,4,15
13,0.13,4,13
14,0.14,4,11
15,0.15,4,9
16,0.16,3,7
17,0.17,3,5
18,0.18,2,2
19,0.19,2,0
20,0.2,2,-3
21,0.21,1,-6
22,0.22,0,-8
23,0.23,0,-11
24,0.24,0,-14
25,0.25,-1,-16
26,0.26,-2,-19
27,0.27,-2,-22
28,0.28,-3,-25
29,0.29,-4,-27
30,0.3,-4,-30
31,0.31,-5,-32
32,0.32,-6,-35
33,0.33,-6,-38
34,0.34,-7,-40
35,0.35,-8,-42
36,0.36,-8,-44
37,0.37,-9,-47
38,0.38,-10,-49
39,0.39,-10,-50
40,0.4,-10,-52
41,0.41,-11,-54
42,0.42,-12,-55
43,0.43,-12,-56
44,0.44,-13,-58
45,0.45,-13,-59
46,0.46,-14,-59
47,0.47,-14,-60
48,0.48,-14,-60
49,0.49,-15,-61
50,0.5,-15,-61
51,0.51,-15,-61
52,0.52,-16,-60
53,0.53,-16,-60
54,0.54,-16,-59
55,0.55,-16,-59
56,0.56,-16,-58
57,0.57,-16,-57
58,0.58,-16,-55
59,0.59,-16,-54
60,0.6,-16,-52
61,0.61,-16,-50
62,0.62,-16,-49
63,0.63,-16,-47
64,0.64,-15,-44
65,0.65,-15,-42
66,0.66,-14,-40
67,0.67,-14,-37
68,0.68,-14,-35
69,0.69,-14,-32
70,0.7,-13,-29
71,0.71,-12,-27
72,0.72,-12,-24
73,0.73,-12,-21
74,0.74,-11,-18
75,0.75,-10,-15
76,0.76,-10,-12
77,0.77,-9,-10
78,0.78,-8,-7
79,0.79,-8,-4
80,0.8,-7,-1
81,0.81,-6,2
82,0.82,-6,4
83,0.83,-5,7
84,0.84,-4,9
85,0.85,-4,12
86,0.86,-3,14
87,0.87,-2,16
88,0.88,-2,18
89,0.89,-2,20
90,0.9,-1,21
91,0.91,0,23
92,0.92,0,24
93,0.93,1,25
94,0.94,2,26
95,0.95,2,27
96,0.96,2,28
97,0.97,3,28
98,0.98,3,28
99,0.99,4,28
100,1.0,4,28
101,1.01,4,28
102,1.02,4,28
