idx,time(s),count B,count C
2,0.02,22,-33
3,0.03,21,-31
4,0.04,20,-29
5,0.05,19,-27
6,0.06,18,-25
7,0.07,16,-23
8,0.08,15,-21
9,0.09,14,-19
10,0.1,13,-17
11,0.11,12,-15
12,0.12,10,-13
13,0.13,9,-12
14,0.14,8,-10
15,0.15,7,-8
16,0.16,6,-7
17,0.17,5,-5
18,0.18,4,-4
19,0.19,4,-2
20,0.2,3,-1
21,0.21,2,0
22,0.22,1,1
23,0.23,1,1
24,0.24,0,2
25,0.25,0,3
26,0.26,0,3
27,0.27,-1,3
28,0.28,-1,3
29,0.29,-1,3
30,0.3,-1,3
31,0.31,-1,3
32,0.32,-1,2
33,0.33,-1,2
34,0.34,0,1
35,0.35,0,0
36,0.36,0,-1
37,0.37,1,-2
38,0.38,2,-3
39,0.39,2,-4
40,0.4,3,-5
41,0.41,4,-7
42,0.42,4,-8
43,0.43,6,-10
44,0.44,6,-12
45,0.45,7,-13
46,0.46,8,-15
47,0.47,10,-17
48,0.48,11,-19
49,0.49,12,-20
50,0.5,13,-22
51,0.51,14,-24
52,0.52,15,-26
53,0.53,16,-28
54,0.54,18,-30
55,0.55,19,-32
56,0.56,20,-34
57,0.57,21,-36
58,0.58,22,-38
59,0.59,24,-39
60,0.6,24,-41
61,0.61,26,-42
62,0.62,27,-44
63,0.63,28,-45
64,0.64,28,-46
65,0.65,29,-48
66,0.66,30,-49
67,0.67,31,-50
68,0.68,31,-50
69,0.69,32,-51
70,0.7,32,-52
71,0.71,32,-52
72,0.72,33,-52
73,0.73,33,-52
74,0.74,33,-52
75,0.75,33,-52
76,0.76,33,-52
77,0.77,33,-52
78,0.78,33,-51
79,0.79,32,-50
80,0.8,32,-50
81,0.81,32,-49
82,0.82,31,-48
83,0.83,30,-46
84,0.84,30,-45
85,0.85,29,-44
86,0.86,28,-42
87,0.87,27,-41
88,0.88,26,-39
89,0.89,25,-37
90,0.9,24,-36
91,0.91,23,-34
92,0.92,22,-32
93,0.93,21,-30
94,0.94,20,-28
95,0.95,18,-26
96,0.96,17,-24
97,0.97,16,-22
98,0.98,15,-20
99,0.99,14,-18
100,1.0,12,-16
101,1.01,11,-14
102,1.02,10,-13
103,1.03,9,-11
104,1.04,8,-9
105,1.05,7,-8
106,1.06,6,-6
107,1.07,5,-5
108,1.08,4,-3
109,1.09,3,-2
110,1.1,2,-1
111,1.11,2,0
112,1.12,1,1
113,1.13,1,2
114,1.14,0,2
115,1.15,0,3
116,1.16,0,3
117,1.17,-1,3
118,1.18,-1,3
119,1.19,-1,3
