idx,time(s),count B,count C
2,0.02,-31,-25
3,0.03,-31,-25
4,0.04,-30,-25
5,0.05,-30,-24
6,0.06,-30,-24
7,0.07,-30,-24
8,0.08,-29,-23
9,0.09,-29,-23
10,0.1,-28,-22
11,0.11,-28,-22
12,0.12,-28,-21
13,0.13,-27,-21
14,0.14,-26,-20
15,0.15,-26,-19
16,0.16,-25,-19
17,0.17,-24,-18
18,0.18,-24,-17
19,0.19,-23,-17
20,0.2,-22,-16
21,0.21,-22,-15
22,0.22,-20,-14
23,0.23,-20,-13
24,0.24,-19,-13
25,0.25,-18,-12
26,0.26,-17,-11
27,0.27,-16,-10
28,0.28,-15,-9
29,0.29,-14,-8
30,0.3,-13,-7
31,0.31,-12,-6
32,0.32,-11,-6
33,0.33,-10,-5
34,0.34,-9,-4
35,0.35,-8,-3
36,0.36,-7,-2
37,0.37,-6,-1
38,0.38,-5,0
39,0.39,-4,1
40,0.4,-3,2
41,0.41,-2,2
42,0.42,-1,3
43,0.43,0,4
44,0.44,1,5
45,0.45,2,6
46,0.46,3,7
47,0.47,4,8
48,0.48,5,8
49,0.49,6,9
50,0.5,7,10
51,0.51,8,11
52,0.52,9,11
53,0.53,10,12
54,0.54,10,13
55,0.55,11,13
56,0.56,12,14
57,0.57,13,14
58,0.58,14,15
59,0.59,14,15
60,0.6,15,16
61,0.61,16,16
62,0.62,16,17
63,0.63,16,17
64,0.64,17,18
65,0.65,18,18
66,0.66,18,18
67,0.67,18,19
68,0.68,18,19
69,0.69,19,19
70,0.7,19,19
71,0.71,20,19
72,0.72,20,19
73,0.73,20,19
74,0.74,20,20
75,0.75,20,20
76,0.76,20,19
77,0.77,20,19
78,0.78,20,19
79,0.79,20,19
80,0.8,20,19
81,0.81,19,19
82,0.82,19,18
83,0.83,18,18
84,0.84,18,18
85,0.85,18,17
86,0.86,18,17
87,0.87,17,17
88,0.88,16,16
89,0.89,16,16
90,0.9,15,15
91,0.91,14,15
92,0.92,14,14
93,0.93,13,13
94,0.94,12,13
95,0.95,12,12
96,0.96,11,12
97,0.97,10,11
98,0.98,10,10
99,0.99,8,9
100,1.0,8,8
101,1.01,7,8
102,1.02,6,7
103,1.03,5,6
104,1.04,4,5
105,1.05,3,4
106,1.06,2,4
107,1.07,1,3
108,1.08,0,2
109,1.09,-1,1
110,1.1,-2,0
111,1.11,-3,-1
112,1.12,-4,-2
113,1.13,-5,-3
114,1.14,-6,-4
115,1.15,-7,-5
116,1.16,-8,-6
117,1.17,-9,-7
118,1.18,-10,-8
119,1.19,-11,-8
120,1.2,-12,-9
121,1.21,-13,-10
122,1.22,-14,-11
123,1.23,-15,-12
124,1.24,-16,-13
125,1.25,-17,-14
126,1.26,-18,-15
127,1.27,-19,-16
128,1.28,-20,-16
129,1.29,-20,-17
130,1.3,-22,-18
131,1.31,-22,-19
132,1.32,-23,-19
133,1.33,-24,-20
134,1.34,-24,-21
135,1.35,-25,-21
136,1.36,-26,-22
137,1.37,-26,-22
138,1.38,-27,-23
139,1.39,-28,-23
140,1.4,-28,-24
141,1.41,-28,-24
142,1.42,-29,-25
143,1.43,-29,-25
144,1.44,-30,-25
145,1.45,-30,-26
146,1.46,-30,-26
147,1.47,-30,-26
148,1.48,-31,-26
149,1.49,-31,-26
150,1.5,-31,-26
151,1.51,-31,-26
152,1.52,-31,-26
153,1.53,-31,-26
154,1.54,-31,-26
155,1.55,-31,-26
156,1.56,-31,-26
157,1.57,-31,-26
158,1.58,-31,-25
159,1.59,-30,-25
160,1.6,-30,-25
161,1.61,-30,-24
162,1.62,-30,-24
163,1.63,-29,-24
164,1.64,-29,-23
165,1.65,-28,-22
166,1.66,-28,-22
167,1.67,-27,-21
168,1.68,-27,-21
169,1.69,-26,-20
170,1.7,-26,-19
171,1.71,-25,-19
172,1.72,-24,-18
173,1.73,-23,-17
174,1.74,-22,-16
175,1.75,-22,-16
176,1.76,-21,-15
177,1.77,-20,-14
178,1.78,-19,-13
179,1.79,-18,-12
180,1.8,-18,-11
181,1.81,-16,-10
182,1.82,-16,-10
183,1.83,-15,-9
184,1.84,-14,-8
185,1.85,-13,-7
186,1.86,-12,-6
187,1.87,-11,-5
188,1.88,-10,-4
189,1.89,-9,-3
190,1.9,-8,-2
191,1.91,-6,-1
192,1.92,-6,0
193,1.93,-4,1
194,1.94,-4,2
195,1.95,-2,3
196,1.96,-2,4
197,1.97,0,4
198,1.98,0,5
199,1.99,2,6
200,2.0,2,7
201,2.01,4,8
202,2.02,4,9
203,2.03,6,9
204,2.04,6,10
205,2.05,8,11
206,2.06,8,12
207,2.07,9,12
208,2.08,10,13
209,2.09,11,14
210,2.1,12,14
211,2.11,12,15
212,2.12,13,15
213,2.13,14,16
214,2.14,14,16
215,2.15,15,17
216,2.16,16,17
217,2.17,16,18
218,2.18,17,18
219,2.19,17,18
220,2.2,18,18
221,2.21,18,19
222,2.22,18,19
223,2.23,19,19
224,2.24,19,19
225,2.25,19,20
226,2.26,20,20
227,2.27,20,20
228,2.28,20,20
229,2.29,20,20
230,2.3,20,20
231,2.31,20,19
232,2.32,20,19
233,2.33,20,19
234,2.34,20,19
235,2.35,19,19
236,2.36,19,18
237,2.37,19,18
238,2.38,18,18
239,2.39,18,17
240,2.4,18,17
241,2.41,17,16
242,2.42,16,16
243,2.43,16,16
244,2.44,16,15
245,2.45,15,14
246,2.46,14,14
247,2.47,14,13
248,2.48,13,13
249,2.49,12,12
250,2.5,11,11
251,2.51,10,11
252,2.52,10,10
253,2.53,9,9
254,2.54,8,8
255,2.55,7,8
256,2.56,6,7
257,2.57,5,6
258,2.58,4,5
259,2.59,4,4
260,2.6,2,3
261,2.61,2,2
262,2.62,0,2
263,2.63,-1,1
264,2.64,-2,0
265,2.65,-3,-1
266,2.66,-4,-2
267,2.67,-5,-3
268,2.68,-6,-4
269,2.69,-7,-5
270,2.7,-8,-6
271,2.71,-9,-7
272,2.72,-10,-8
273,2.73,-11,-9
274,2.74,-12,-10
275,2.75,-13,-10
276,2.76,-14,-11
277,2.77,-15,-12
278,2.78,-16,-13
279,2.79,-17,-14
280,2.8,-18,-15
281,2.81,-18,-15
282,2.82,-20,-16
283,2.83,-20,-17
284,2.84,-21,-18
285,2.85,-22,-18
286,2.86,-23,-19
287,2.87,-24,-20
288,2.88,-24,-20
289,2.89,-25,-21
290,2.9,-26,-22
291,2.91,-26,-22
292,2.92,-27,-23
293,2.93,-27,-23
294,2.94,-28,-24
295,2.95,-28,-24
296,2.96,-29,-24
297,2.97,-29,-25
298,2.98,-30,-25
299,2.99,-30,-25
300,3.0,-30,-25
301,3.01,-30,-26
302,3.02,-31,-26
303,3.03,-31,-26
304,3.04,-31,-26
305,3.05,-31,-26
306,3.06,-31,-26
307,3.07,-31,-26
308,3.08,-31,-26
309,3.09,-31,-26
310,3.1,-31,-26
311,3.11,-31,-25
312,3.12,-31,-25
313,3.13,-30,-25
314,3.14,-30,-24
315,3.15,-30,-24
316,3.16,-30,-24
317,3.17,-29,-23
318,3.18,-29,-23
319,3.19,-28,-22
320,3.2,-28,-22
321,3.21,-28,-21
322,3.22,-27,-21
323,3.23,-26,-20
324,3.24,-26,-19
325,3.25,-25,-19
326,3.26,-24,-18
327,3.27,-24,-17
328,3.28,-23,-16
329,3.29,-22,-16
330,3.3,-21,-15
331,3.31,-20,-14
332,3.32,-20,-13
333,3.33,-19,-12
334,3.34,-18,-12
335,3.35,-17,-11
336,3.36,-16,-10
337,3.37,-15,-9
338,3.38,-14,-8
339,3.39,-13,-7
340,3.4,-12,-6
341,3.41,-11,-5
342,3.42,-10,-4
343,3.43,-9,-4
344,3.44,-8,-2
345,3.45,-7,-2
346,3.46,-6,-1
347,3.47,-5,0
348,3.48,-4,1
349,3.49,-3,2
350,3.5,-2,3
351,3.51,-1,4
352,3.52,0,5
353,3.53,1,5
354,3.54,2,6
355,3.55,3,7
356,3.56,4,8
357,3.57,5,9
358,3.58,6,9
359,3.59,7,10
360,3.6,8,11
361,3.61,9,12
362,3.62,10,12
363,3.63,10,13
364,3.64,11,14
365,3.65,12,14
366,3.66,13,15
367,3.67,14,15
368,3.68,14,16
369,3.69,15,16
370,3.7,16,17
371,3.71,16,17
372,3.72,16,18
373,3.73,17,18
374,3.74,18,18
375,3.75,18,18
376,3.76,18,19
377,3.77,19,19
378,3.78,19,19
379,3.79,19,19
380,3.8,20,19
381,3.81,20,20
382,3.82,20,20
383,3.83,20,20
384,3.84,20,20
385,3.85,20,19
386,3.86,20,19
387,3.87,20,19
388,3.88,20,19
389,3.89,19,19
390,3.9,19,19
391,3.91,19,18
392,3.92,18,18
393,3.93,18,18
394,3.94,18,17
395,3.95,17,17
396,3.96,17,16
397,3.97,16,16
398,3.98,16,15
399,3.99,15,15
400,4.0,14,14
401,4.01,14,14
402,4.02,13,13
403,4.03,12,12
404,4.04,12,12
405,4.05,11,11
406,4.06,10,10
407,4.07,9,10
408,4.08,8,9
409,4.09,8,8
410,4.1,6,7
411,4.11,6,6
412,4.12,4,6
413,4.13,4,5
414,4.14,3,4
415,4.15,2,3
416,4.16,1,2
417,4.17,0,1
418,4.18,-2,0
419,4.19,-2,-1
420,4.2,-4,-2
421,4.21,-4,-2
422,4.22,-6,-4
423,4.23,-6,-4
424,4.24,-8,-5
425,4.25,-8,-6
426,4.26,-10,-7
427,4.27,-10,-8
428,4.28,-12,-9
429,4.29,-12,-10
430,4.3,-14,-11
431,4.31,-14,-12
432,4.32,-16,-13
433,4.33,-16,-14
434,4.34,-18,-14
435,4.35,-18,-15
436,4.36,-19,-16
437,4.37,-20,-17
438,4.38,-21,-17
439,4.39,-22,-18
440,4.4,-22,-19
441,4.41,-23,-20
442,4.42,-24,-20
443,4.43,-25,-21
444,4.44,-25,-21
445,4.45,-26,-22
446,4.46,-26,-23
447,4.47,-27,-23
448,4.48,-28,-24
449,4.49,-28,-24
450,4.5,-28,-24
451,4.51,-29,-25
452,4.52,-30,-25
453,4.53,-30,-25
454,4.54,-30,-26
455,4.55,-30,-26
456,4.56,-30,-26
457,4.57,-31,-26
458,4.58,-31,-26
459,4.59,-31,-26
460,4.6,-31,-26
461,4.61,-31,-26
462,4.62,-31,-26
463,4.63,-31,-26
464,4.64,-31,-26
465,4.65,-31,-26
466,4.66,-31,-25
467,4.67,-30,-25
468,4.68,-30,-25
469,4.69,-30,-24
470,4.7,-30,-24
471,4.71,-30,-24
472,4.72,-29,-23
473,4.73,-28,-23
474,4.74,-28,-22
475,4.75,-28,-22
476,4.76,-27,-21
477,4.77,-26,-20
478,4.78,-26,-20
479,4.79,-25,-19
480,4.8,-24,-18
481,4.81,-24,-18
482,4.82,-23,-17
483,4.83,-22,-16
484,4.84,-22,-15
485,4.85,-21,-14
486,4.86,-20,-14
487,4.87,-19,-13
488,4.88,-18,-12
