idx,time(s),count B,count C
2,0.02,-26,-83
3,0.03,-24,-82
4,0.04,-24,-80
5,0.05,-22,-78
6,0.06,-21,-76
7,0.07,-20,-74
8,0.08,-19,-72
9,0.09,-18,-69
10,0.1,-16,-66
11,0.11,-15,-62
12,0.12,-14,-59
13,0.13,-12,-55
14,0.14,-11,-52
15,0.15,-10,-48
16,0.16,-8,-43
17,0.17,-6,-39
18,0.18,-5,-35
19,0.19,-4,-30
20,0.2,-2,-26
21,0.21,0,-21
22,0.22,1,-16
23,0.23,2,-11
24,0.24,4,-6
25,0.25,5,-1
26,0.26,6,4
27,0.27,8,8
28,0.28,9,13
29,0.29,10,18
30,0.3,11,23
31,0.31,12,28
32,0.32,14,32
33,0.33,14,37
34,0.34,15,41
35,0.35,16,45
36,0.36,17,49
37,0.37,18,53
38,0.38,18,56
39,0.39,18,60
40,0.4,19,63
41,0.41,20,66
42,0.42,20,69
43,0.43,20,71
44,0.44,20,73
45,0.45,20,75
46,0.46,20,77
47,0.47,20,78
48,0.48,20,79
49,0.49,19,80
50,0.5,18,80
51,0.51,18,80
52,0.52,18,80
53,0.53,17,80
54,0.54,16,79
55,0.55,15,78
56,0.56,14,77
57,0.57,14,76
58,0.58,12,74
59,0.59,11,72
60,0.6,10,70
61,0.61,9,68
62,0.62,8,66
63,0.63,6,63
64,0.64,5,60
65,0.65,4,57
66,0.66,2,54
67,0.67,1,51
68,0.68,0,47
69,0.69,-2,43
70,0.7,-3,40
71,0.71,-5,36
72,0.72,-6,32
73,0.73,-8,27
74,0.74,-9,23
75,0.75,-10,19
76,0.76,-12,14
77,0.77,-14,10
78,0.78,-15,5
79,0.79,-16,1
80,0.8,-18,-4
81,0.81,-19,-8
82,0.82,-20,-13
83,0.83,-21,-18
84,0.84,-22,-22
85,0.85,-23,-26
86,0.86,-24,-31
87,0.87,-25,-35
88,0.88,-26,-39
89,0.89,-27,-44
90,0.9,-28,-48
91,0.91,-28,-51
92,0.92,-29,-55
93,0.93,-30,-59
94,0.94,-30,-62
95,0.95,-30,-65
96,0.96,-31,-68
97,0.97,-31,-71
98,0.98,-31,-74
99,0.99,-31,-76
100,1.0,-31,-78
101,1.01,-31,-80
102,1.02,-31,-81
103,1.03,-31,-83
104,1.04,-30,-84
105,1.05,-30,-84
106,1.06,-30,-85
107,1.07,-29,-85
108,1.08,-28,-85
109,1.09,-28,-85
110,1.1,-27,-84
