idx,time(s),count B,count C
2,0.02,-17,-16
3,0.03,-18,-14
4,0.04,-18,-11
5,0.05,-20,-9
6,0.06,-20,-6
7,0.07,-21,-4
8,0.08,-22,-1
9,0.09,-24,2
10,0.1,-24,4
11,0.11,-26,7
12,0.12,-27,9
13,0.13,-28,12
14,0.14,-29,14
15,0.15,-30,16
16,0.16,-31,18
17,0.17,-32,21
18,0.18,-34,23
19,0.19,-35,24
20,0.2,-36,26
21,0.21,-37,28
22,0.22,-38,29
23,0.23,-39,31
24,0.24,-40,32
25,0.25,-41,33
26,0.26,-42,34
27,0.27,-42,34
28,0.28,-43,34
29,0.29,-44,35
30,0.3,-44,35
31,0.31,-45,35
32,0.32,-46,34
33,0.33,-46,34
34,0.34,-46,34
35,0.35,-46,33
36,0.36,-46,32
37,0.37,-47,31
38,0.38,-47,30
39,0.39,-47,29
40,0.4,-47,27
41,0.41,-46,26
42,0.42,-46,24
43,0.43,-46,22
44,0.44,-46,20
45,0.45,-45,18
46,0.46,-44,16
47,0.47,-44,14
48,0.48,-43,12
49,0.49,-42,10
50,0.5,-42,7
51,0.51,-41,5
52,0.52,-40,2
53,0.53,-39,0
54,0.54,-38,-2
55,0.55,-37,-5
56,0.56,-36,-8
57,0.57,-35,-10
58,0.58,-34,-12
59,0.59,-33,-15
60,0.6,-32,-17
61,0.61,-30,-20
62,0.62,-30,-22
63,0.63,-28,-24
64,0.64,-27,-26
65,0.65,-26,-28
66,0.66,-25,-30
67,0.67,-24,-31
68,0.68,-23,-33
69,0.69,-22,-34
70,0.7,-20,-36
71,0.71,-20,-37
72,0.72,-19,-38
73,0.73,-18,-39
74,0.74,-17,-40
75,0.75,-16,-40
76,0.76,-16,-40
77,0.77,-15,-40
78,0.78,-14,-40
79,0.79,-14,-40
80,0.8,-14,-40
81,0.81,-13,-40
82,0.82,-13,-39
83,0.83,-13,-38
84,0.84,-12,-37
85,0.85,-12,-36
86,0.86,-12,-35
87,0.87,-13,-33
88,0.88,-13,-32
89,0.89,-13,-30
90,0.9,-14,-28
91,0.91,-14,-26
92,0.92,-14,-24
93,0.93,-15,-22
94,0.94,-16,-20
95,0.95,-16,-17
96,0.96,-17,-15
97,0.97,-18,-12
98,0.98,-19,-10
99,0.99,-20,-7
100,1.0,-21,-5
101,1.01,-22,-2
102,1.02,-23,0
103,1.03,-24,3
104,1.04,-25,6
105,1.05,-26,8
106,1.06,-28,10
107,1.07,-28,13
108,1.08,-30,15
109,1.09,-31,18
110,1.1,-32,20
111,1.11,-33,22
112,1.12,-34,24
113,1.13,-36,26
114,1.14,-36,27
115,1.15,-38,29
116,1.16,-38,30
117,1.17,-40,31
118,1.18,-40,32
119,1.19,-41,33
120,1.2,-42,34
121,1.21,-43,34
122,1.22,-44,35
123,1.23,-44,35
124,1.24,-45,35
125,1.25,-45,35
126,1.26,-46,34
127,1.27,-46,34
128,1.28,-46,33
129,1.29,-46,32
130,1.3,-47,32
131,1.31,-47,30
132,1.32,-47,29
133,1.33,-47,28
134,1.34,-46,26
135,1.35,-46,25
136,1.36,-46,23
137,1.37,-46,21
138,1.38,-45,19
139,1.39,-45,17
140,1.4,-44,15
141,1.41,-44,13
142,1.42,-43,10
143,1.43,-42,8
144,1.44,-41,6
145,1.45,-40,3
146,1.46,-40,1
147,1.47,-38,-2
148,1.48,-38,-4
149,1.49,-36,-7
150,1.5,-36,-9
151,1.51,-34,-12
152,1.52,-33,-14
153,1.53,-32,-16
154,1.54,-31,-19
155,1.55,-30,-21
156,1.56,-28,-23
157,1.57,-28,-25
158,1.58,-26,-27
159,1.59,-25,-29
160,1.6,-24,-31
161,1.61,-23,-32
162,1.62,-22,-34
163,1.63,-21,-35
164,1.64,-20,-36
165,1.65,-19,-38
166,1.66,-18,-38
167,1.67,-17,-39
168,1.68,-16,-40
169,1.69,-16,-40
170,1.7,-15,-40
171,1.71,-14,-41
172,1.72,-14,-40
173,1.73,-14,-40
174,1.74,-13,-40
