idx,time(s),count B,count C
2,0.02,-8,37
3,0.03,-7,36
4,0.04,-6,35
5,0.05,-6,34
6,0.06,-5,33
7,0.07,-5,32
8,0.08,-4,30
9,0.09,-4,28
10,0.1,-3,27
11,0.11,-2,25
12,0.12,-2,22
13,0.13,-1,20
14,0.14,0,18
15,0.15,0,15
16,0.16,0,13
17,0.17,1,10
18,0.18,2,7
19,0.19,2,4
20,0.2,2,1
21,0.21,3,-2
22,0.22,3,-5
23,0.23,4,-8
24,0.24,4,-11
25,0.25,4,-14
26,0.26,4,-18
27,0.27,4,-21
28,0.28,5,-24
29,0.29,5,-27
30,0.3,5,-30
31,0.31,5,-34
32,0.32,5,-37
33,0.33,5,-40
34,0.34,5,-42
35,0.35,4,-45
36,0.36,4,-48
37,0.37,4,-51
38,0.38,4,-53
39,0.39,4,-56
40,0.4,4,-58
41,0.41,3,-60
42,0.42,3,-62
43,0.43,2,-64
44,0.44,2,-65
45,0.45,2,-66
46,0.46,1,-68
47,0.47,0,-69
48,0.48,0,-70
49,0.49,-1,-70
50,0.5,-2,-71
51,0.51,-2,-71
52,0.52,-2,-71
53,0.53,-3,-71
54,0.54,-4,-70
55,0.55,-4,-70
56,0.56,-5,-69
57,0.57,-6,-68
58,0.58,-6,-67
59,0.59,-7,-66
60,0.6,-8,-64
61,0.61,-8,-62
62,0.62,-9,-60
63,0.63,-10,-58
64,0.64,-10,-56
65,0.65,-10,-54
66,0.66,-11,-51
67,0.67,-12,-49
68,0.68,-12,-46
69,0.69,-13,-43
70,0.7,-13,-40
71,0.71,-14,-37
72,0.72,-14,-34
73,0.73,-14,-31
74,0.74,-15,-27
75,0.75,-15,-24
76,0.76,-15,-21
77,0.77,-16,-17
78,0.78,-16,-14
79,0.79,-16,-11
80,0.8,-16,-7
81,0.81,-16,-4
82,0.82,-16,-1
83,0.83,-16,3
84,0.84,-16,6
85,0.85,-16,9
86,0.86,-16,12
87,0.87,-16,15
88,0.88,-16,18
89,0.89,-16,20
90,0.9,-15,23
91,0.91,-15,25
92,0.92,-15,27
93,0.93,-14,29
94,0.94,-14,31
95,0.95,-14,33
96,0.96,-13,34
97,0.97,-12,35
98,0.98,-12,36
99,0.99,-12,37
100,1.0,-11,38
101,1.01,-10,38
102,1.02,-10,38
103,1.03,-10,38
104,1.04,-9,38
105,1.05,-8,38
106,1.06,-8,37
107,1.07,-7,36
108,1.08,-6,35
109,1.09,-6,34
110,1.1,-5,33
111,1.11,-4,31
112,1.12,-4,30
113,1.13,-3,28
114,1.14,-2,26
115,1.15,-2,24
116,1.16,-1,22
117,1.17,-1,19
118,1.18,0,17
119,1.19,0,14
120,1.2,1,12
121,1.21,2,9
122,1.22,2,6
123,1.23,2,3
124,1.24,3,0
125,1.25,3,-3
126,1.26,4,-6
127,1.27,4,-9
128,1.28,4,-12
129,1.29,4,-16
130,1.3,4,-19
131,1.31,4,-22
132,1.32,5,-26
133,1.33,5,-29
134,1.34,5,-32
135,1.35,5,-35
136,1.36,5,-38
137,1.37,5,-41
138,1.38,5,-44
139,1.39,4,-47
140,1.4,4,-49
141,1.41,4,-52
142,1.42,4,-54
143,1.43,4,-57
144,1.44,3,-59
145,1.45,3,-61
146,1.46,2,-63
147,1.47,2,-64
148,1.48,2,-66
149,1.49,1,-67
150,1.5,0,-68
151,1.51,0,-69
152,1.52,0,-70
153,1.53,-1,-71
154,1.54,-2,-71
155,1.55,-2,-71
156,1.56,-3,-71
157,1.57,-4,-71
158,1.58,-4,-70
159,1.59,-5,-70
160,1.6,-6,-69
161,1.61,-6,-68
162,1.62,-7,-67
163,1.63,-7,-65
164,1.64,-8,-64
165,1.65,-8,-62
166,1.66,-9,-60
167,1.67,-10,-58
168,1.68,-10,-56
169,1.69,-11,-53
170,1.7,-12,-50
171,1.71,-12,-48
172,1.72,-12,-45
173,1.73,-13,-42
174,1.74,-14,-39
175,1.75,-14,-36
176,1.76,-14,-33
177,1.77,-14,-29
178,1.78,-15,-26
179,1.79,-15,-23
180,1.8,-16,-19
181,1.81,-16,-16
182,1.82,-16,-13
183,1.83,-16,-9
184,1.84,-16,-6
185,1.85,-16,-2
186,1.86,-16,1
187,1.87,-16,4
188,1.88,-16,7
189,1.89,-16,10
190,1.9,-16,13
191,1.91,-16,16
192,1.92,-16,19
193,1.93,-16,21
194,1.94,-15,24
195,1.95,-15,26
196,1.96,-14,28
197,1.97,-14,30
198,1.98,-14,32
199,1.99,-13,33
200,2.0,-13,35
201,2.01,-12,36
202,2.02,-12,37
203,2.03,-11,38
204,2.04,-11,38
205,2.05,-10,38
206,2.06,-10,38
207,2.07,-9,38
208,2.08,-8,38
209,2.09,-8,37
210,2.1,-7,37
211,2.11,-6,36
212,2.12,-6,35
213,2.13,-5,34
214,2.14,-4,32
215,2.15,-4,31
216,2.16,-3,29
217,2.17,-3,27
218,2.18,-2,25
219,2.19,-2,23
220,2.2,-1,21
221,2.21,0,18
222,2.22,0,16
223,2.23,1,13
224,2.24,1,10
225,2.25,2,8
226,2.26,2,5
227,2.27,2,2
228,2.28,3,-1
229,2.29,3,-4
230,2.3,4,-8
231,2.31,4,-11
232,2.32,4,-14
233,2.33,4,-17
234,2.34,4,-21
235,2.35,5,-24
236,2.36,5,-27
237,2.37,5,-30
238,2.38,5,-33
239,2.39,5,-36
240,2.4,5,-40
241,2.41,5,-42
242,2.42,4,-45
243,2.43,4,-48
244,2.44,4,-51
245,2.45,4,-53
246,2.46,4,-56
247,2.47,4,-58
248,2.48,3,-60
249,2.49,2,-62
250,2.5,2,-64
251,2.51,2,-65
252,2.52,1,-67
253,2.53,1,-68
254,2.54,0,-69
255,2.55,0,-70
256,2.56,-1,-70
257,2.57,-2,-71
258,2.58,-2,-71
259,2.59,-2,-71
260,2.6,-3,-71
261,2.61,-4,-71
262,2.62,-4,-70
263,2.63,-5,-70
264,2.64,-6,-69
265,2.65,-6,-68
266,2.66,-7,-66
267,2.67,-8,-65
268,2.68,-8,-63
269,2.69,-9,-61
270,2.7,-10,-59
271,2.71,-10,-57
272,2.72,-11,-54
273,2.73,-11,-52
274,2.74,-12,-49
275,2.75,-12,-46
276,2.76,-13,-44
277,2.77,-13,-41
278,2.78,-14,-38
279,2.79,-14,-34
280,2.8,-14,-31
281,2.81,-15,-28
282,2.82,-15,-24
283,2.83,-15,-21
284,2.84,-16,-18
285,2.85,-16,-14
286,2.86,-16,-11
287,2.87,-16,-7
288,2.88,-16,-4
289,2.89,-16,-1
290,2.9,-16,2
291,2.91,-16,6
292,2.92,-16,9
293,2.93,-16,12
294,2.94,-16,15
295,2.95,-16,18
