idx,time(s),count B,count C
2,0.02,-14,-54
3,0.03,-14,-51
4,0.04,-14,-48
5,0.05,-14,-45
6,0.06,-15,-42
7,0.07,-15,-39
8,0.08,-16,-35
9,0.09,-16,-32
10,0.1,-16,-29
11,0.11,-16,-25
12,0.12,-16,-22
13,0.13,-16,-18
14,0.14,-16,-14
15,0.15,-16,-11
16,0.16,-16,-7
17,0.17,-16,-4
18,0.18,-16,0
19,0.19,-16,3
20,0.2,-16,6
21,0.21,-15,10
22,0.22,-15,13
23,0.23,-14,16
24,0.24,-14,19
25,0.25,-14,22
26,0.26,-14,24
27,0.27,-13,27
28,0.28,-12,29
29,0.29,-12,31
30,0.3,-12,33
31,0.31,-11,35
32,0.32,-10,36
33,0.33,-10,38
34,0.34,-9,39
35,0.35,-8,39
36,0.36,-8,40
37,0.37,-7,40
38,0.38,-7,41
39,0.39,-6,41
40,0.4,-6,40
41,0.41,-5,40
42,0.42,-4,39
43,0.43,-4,39
44,0.44,-3,38
45,0.45,-2,36
46,0.46,-2,35
47,0.47,-1,34
48,0.48,0,32
49,0.49,0,30
50,0.5,0,28
51,0.51,1,26
52,0.52,2,23
53,0.53,2,21
54,0.54,2,18
55,0.55,3,16
56,0.56,3,13
57,0.57,4,10
58,0.58,4,7
59,0.59,4,4
60,0.6,4,0
61,0.61,4,-3
62,0.62,5,-6
63,0.63,5,-10
64,0.64,5,-13
65,0.65,5,-16
66,0.66,5,-20
67,0.67,5,-23
68,0.68,5,-27
69,0.69,4,-30
70,0.7,4,-33
71,0.71,4,-37
72,0.72,4,-40
73,0.73,4,-43
74,0.74,4,-46
75,0.75,3,-49
76,0.76,3,-52
77,0.77,2,-54
78,0.78,2,-57
79,0.79,2,-59
80,0.8,1,-62
81,0.81,0,-64
82,0.82,0,-66
83,0.83,-1,-67
84,0.84,-2,-69
85,0.85,-2,-70
86,0.86,-2,-71
87,0.87,-3,-72
88,0.88,-4,-73
89,0.89,-4,-73
90,0.9,-5,-74
91,0.91,-6,-74
92,0.92,-6,-73
93,0.93,-7,-73
94,0.94,-8,-72
95,0.95,-8,-72
96,0.96,-9,-71
97,0.97,-10,-69
98,0.98,-10,-68
99,0.99,-11,-66
100,1.0,-11,-65
101,1.01,-12,-63
102,1.02,-12,-60
103,1.03,-13,-58
104,1.04,-13,-56
105,1.05,-14,-53
106,1.06,-14,-50
107,1.07,-14,-47
108,1.08,-15,-44
109,1.09,-15,-41
110,1.1,-15,-38
111,1.11,-16,-34
112,1.12,-16,-31
113,1.13,-16,-27
114,1.14,-16,-24
115,1.15,-16,-20
116,1.16,-16,-17
117,1.17,-16,-13
118,1.18,-16,-10
119,1.19,-16,-6
120,1.2,-16,-3
121,1.21,-16,1
122,1.22,-16,4
123,1.23,-15,8
124,1.24,-15,11
125,1.25,-15,14
126,1.26,-14,17
127,1.27,-14,20
128,1.28,-14,23
129,1.29,-13,25
130,1.3,-13,28
131,1.31,-12,30
132,1.32,-12,32
133,1.33,-11,34
134,1.34,-11,35
135,1.35,-10,37
136,1.36,-10,38
