idx,time(s),count B,count C
2,0.02,-9,22
3,0.03,-10,17
4,0.04,-12,12
5,0.05,-13,7
6,0.06,-14,2
7,0.07,-16,-3
8,0.08,-17,-8
9,0.09,-18,-13
10,0.1,-20,-19
11,0.11,-21,-24
12,0.12,-22,-29
13,0.13,-23,-34
14,0.14,-24,-40
15,0.15,-25,-45
16,0.16,-26,-50
17,0.17,-27,-55
18,0.18,-28,-60
19,0.19,-28,-64
20,0.2,-29,-69
21,0.21,-30,-73
22,0.22,-30,-78
23,0.23,-30,-82
24,0.24,-31,-85
25,0.25,-31,-89
26,0.26,-31,-92
27,0.27,-31,-95
28,0.28,-31,-98
29,0.29,-31,-100
30,0.3,-31,-103
31,0.31,-30,-105
32,0.32,-30,-106
33,0.33,-30,-108
34,0.34,-30,-109
35,0.35,-29,-110
36,0.36,-28,-110
37,0.37,-28,-110
38,0.38,-27,-110
39,0.39,-26,-110
40,0.4,-25,-109
41,0.41,-24,-108
42,0.42,-23,-106
43,0.43,-22,-104
44,0.44,-20,-102
45,0.45,-19,-100
46,0.46,-18,-97
47,0.47,-17,-94
48,0.48,-16,-91
49,0.49,-14,-88
50,0.5,-12,-84
51,0.51,-11,-80
52,0.52,-10,-76
53,0.53,-8,-71
54,0.54,-7,-67
55,0.55,-5,-62
56,0.56,-4,-57
57,0.57,-2,-52
58,0.58,-1,-47
59,0.59,1,-41
60,0.6,2,-36
61,0.61,4,-30
62,0.62,5,-25
63,0.63,6,-19
64,0.64,8,-14
65,0.65,9,-8
66,0.66,10,-2
67,0.67,11,3
68,0.68,12,8
69,0.69,14,14
70,0.7,14,19
71,0.71,15,24
72,0.72,16,30
73,0.73,17,34
74,0.74,18,39
75,0.75,18,44
76,0.76,19,48
77,0.77,19,52
78,0.78,20,56
79,0.79,20,59
80,0.8,20,62
81,0.81,20,65
82,0.82,20,68
83,0.83,20,70
84,0.84,20,72
85,0.85,20,74
86,0.86,19,75
87,0.87,18,76
88,0.88,18,77
89,0.89,18,77
90,0.9,17,77
91,0.91,16,77
92,0.92,15,76
93,0.93,14,75
94,0.94,13,74
95,0.95,12,73
96,0.96,11,71
97,0.97,10,69
98,0.98,8,67
99,0.99,7,64
100,1.0,6,62
101,1.01,4,59
102,1.02,3,55
103,1.03,2,52
104,1.04,0,48
105,1.05,-1,44
106,1.06,-2,40
107,1.07,-4,36
108,1.08,-6,32
109,1.09,-7,27
110,1.1,-8,23
111,1.11,-10,18
112,1.12,-12,13
