idx,time(s),count B,count C
2,0.02,3,-6
3,0.03,3,-4
4,0.04,4,-1
5,0.05,4,2
6,0.06,4,4
7,0.07,4,7
8,0.08,4,9
9,0.09,5,11
10,0.1,5,14
11,0.11,5,16
12,0.12,5,18
13,0.13,5,19
14,0.14,5,21
15,0.15,5,23
16,0.16,5,24
17,0.17,5,25
18,0.18,4,26
19,0.19,4,27
20,0.2,4,28
21,0.21,4,29
22,0.22,4,29
23,0.23,3,29
24,0.24,3,29
25,0.25,2,29
26,0.26,2,29
27,0.27,2,29
28,0.28,1,28
29,0.29,0,28
30,0.3,0,27
31,0.31,0,26
32,0.32,-1,25
33,0.33,-2,23
34,0.34,-2,22
35,0.35,-3,20
36,0.36,-4,19
37,0.37,-4,17
38,0.38,-5,15
39,0.39,-6,14
40,0.4,-6,12
41,0.41,-6,9
42,0.42,-7,7
43,0.43,-8,5
44,0.44,-8,3
45,0.45,-9,0
46,0.46,-10,-2
47,0.47,-10,-5
48,0.48,-11,-7
49,0.49,-11,-10
50,0.5,-12,-12
51,0.51,-12,-15
52,0.52,-13,-18
53,0.53,-13,-20
54,0.54,-14,-23
55,0.55,-14,-25
56,0.56,-14,-28
57,0.57,-14,-31
58,0.58,-15,-33
59,0.59,-15,-36
60,0.6,-16,-38
61,0.61,-16,-40
62,0.62,-16,-42
63,0.63,-16,-45
64,0.64,-16,-47
65,0.65,-16,-49
66,0.66,-16,-51
67,0.67,-16,-52
68,0.68,-16,-54
69,0.69,-16,-55
70,0.7,-16,-57
71,0.71,-16,-58
72,0.72,-15,-59
73,0.73,-15,-60
74,0.74,-15,-61
75,0.75,-14,-61
76,0.76,-14,-62
77,0.77,-14,-62
78,0.78,-14,-62
79,0.79,-13,-62
80,0.8,-12,-62
81,0.81,-12,-62
82,0.82,-12,-61
83,0.83,-11,-60
84,0.84,-10,-60
85,0.85,-10,-59
86,0.86,-10,-57
87,0.87,-9,-56
88,0.88,-8,-55
89,0.89,-8,-53
90,0.9,-7,-52
91,0.91,-6,-50
92,0.92,-6,-48
93,0.93,-5,-46
94,0.94,-4,-44
95,0.95,-4,-41
96,0.96,-3,-39
97,0.97,-3,-36
98,0.98,-2,-34
99,0.99,-2,-31
100,1.0,-1,-29
101,1.01,0,-26
102,1.02,0,-23
103,1.03,0,-20
104,1.04,1,-18
105,1.05,2,-15
106,1.06,2,-12
107,1.07,2,-9
108,1.08,3,-7
109,1.09,3,-4
110,1.1,4,-1
111,1.11,4,1
112,1.12,4,4
