idx,time(s),count B,count C
2,0.02,19,20
3,0.03,18,19
4,0.04,18,19
5,0.05,18,18
6,0.06,17,18
7,0.07,17,18
8,0.08,16,17
9,0.09,16,16
10,0.1,15,16
11,0.11,14,15
12,0.12,14,14
13,0.13,13,14
14,0.14,12,13
15,0.15,11,12
16,0.16,10,11
17,0.17,10,10
18,0.18,8,10
19,0.19,8,9
20,0.2,7,8
21,0.21,6,7
22,0.22,5,6
23,0.23,4,5
24,0.24,3,4
25,0.25,2,3
26,0.26,0,2
27,0.27,0,1
28,0.28,-2,0
29,0.29,-2,-1
30,0.3,-4,-2
31,0.31,-5,-3
32,0.32,-6,-4
33,0.33,-7,-5
34,0.34,-8,-6
35,0.35,-9,-7
36,0.36,-10,-8
37,0.37,-11,-9
38,0.38,-12,-10
39,0.39,-13,-11
40,0.4,-14,-12
41,0.41,-15,-13
42,0.42,-16,-14
43,0.43,-17,-15
44,0.44,-18,-16
45,0.45,-19,-17
46,0.46,-20,-18
47,0.47,-21,-18
48,0.48,-22,-19
49,0.49,-22,-20
50,0.5,-23,-21
51,0.51,-24,-21
52,0.52,-25,-22
53,0.53,-26,-23
54,0.54,-26,-23
55,0.55,-27,-24
56,0.56,-27,-24
57,0.57,-28,-25
58,0.58,-28,-25
59,0.59,-29,-26
60,0.6,-29,-26
61,0.61,-30,-26
62,0.62,-30,-27
63,0.63,-30,-27
64,0.64,-30,-27
65,0.65,-31,-27
66,0.66,-31,-27
67,0.67,-31,-27
68,0.68,-31,-27
69,0.69,-31,-27
70,0.7,-31,-27
71,0.71,-31,-27
72,0.72,-31,-27
73,0.73,-31,-27
74,0.74,-30,-26
75,0.75,-30,-26
76,0.76,-30,-26
77,0.77,-30,-25
78,0.78,-30,-25
79,0.79,-29,-25
80,0.8,-29,-24
81,0.81,-28,-24
82,0.82,-28,-23
83,0.83,-27,-22
84,0.84,-26,-22
85,0.85,-26,-21
86,0.86,-25,-20
87,0.87,-25,-19
88,0.88,-24,-19
89,0.89,-23,-18
90,0.9,-22,-17
91,0.91,-22,-16
92,0.92,-21,-15
93,0.93,-20,-14
94,0.94,-19,-13
95,0.95,-18,-12
96,0.96,-17,-12
97,0.97,-16,-10
98,0.98,-15,-10
99,0.99,-14,-8
100,1.0,-13,-8
101,1.01,-12,-6
102,1.02,-11,-6
103,1.03,-10,-4
104,1.04,-9,-4
105,1.05,-8,-2
106,1.06,-7,-1
107,1.07,-6,0
108,1.08,-4,1
109,1.09,-4,2
110,1.1,-2,3
111,1.11,-1,4
112,1.12,0,5
113,1.13,1,6
114,1.14,2,6
115,1.15,3,7
116,1.16,4,8
117,1.17,5,9
118,1.18,6,10
119,1.19,7,11
120,1.2,8,12
121,1.21,9,12
122,1.22,10,13
123,1.23,10,14
124,1.24,11,15
125,1.25,12,15
126,1.26,13,16
127,1.27,14,16
128,1.28,14,17
